PROCEDURE_CAT;PROCEDURE_SCHEM;PROCEDURE_NAME;COLUMN_NAME;COLUMN_TYPE;DATA_TYPE;TYPE_NAME;PRECISION;LENGTH;SCALE;RADIX;NULLABLE;REMARKS
FLC_RU;alexs;usp_class_process_test_log;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_scheme_class_set;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_scheme_class_set;1;@ID;1;4;int;10;4;0;0;2;null
FLC_RU;alexs;usp_class_scheme_class_set;1;@CLASS_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_scheme_copy;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_scheme_copy;1;@SCHEME_ID;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_scheme_delete;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_scheme_delete;1;@scheme_id;1;4;int;10;4;0;0;2;null
FLC_RU;alexs;usp_class_scheme_detail_add;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_scheme_detail_add;1;@SCHEME_ID;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_scheme_detail_add;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_scheme_detail_add;1;@PARENT_ID;1;4;int;10;4;0;0;2;null
FLC_RU;alexs;usp_class_scheme_detail_add;1;@ADD_MODE;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_scheme_detail_add;1;@SHIFT_TO;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_scheme_detail_child;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_scheme_detail_child;1;@SCHEME_ID;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_scheme_detail_child;1;@PARENT_ID;1;4;int;10;4;0;0;2;null
FLC_RU;alexs;usp_class_scheme_reorganize1;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_scheme_reorganize;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_scheme_reorganize;1;@SCHEME_ID;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_scheme_reorganize;1;@SHOW_RESULT;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_expence_task_prepare;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_expence_task_prepare;1;@filters;1;12;varchar;4096;4096;0;0;2;null
FLC_RU;alexs;usp_expence_task_prepare;1;@statuses;1;12;varchar;255;255;0;0;2;null
FLC_RU;alexs;usp_expence_task_prepare;1;@remark;1;12;varchar;255;255;0;0;2;null
FLC_RU;alexs;usp_expence_task_process;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_expence_task_process;1;@TASK_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_expence_task_process_1;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_process_event_1;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;RemoveChars;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;RemoveChars;1;@s;2;12;varchar;1024;1024;0;0;2;null
FLC_RU;dbo;RemoveChars;1;@chars;1;12;varchar;1024;1024;0;0;2;null
FLC_RU;dbo;ai_GetIdByCode;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;ai_GetIdByCode;1;@product_code;1;12;varchar;255;255;0;0;2;null
FLC_RU;dbo;ai_GetIdByCode;1;@channel_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;dav_test;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;dav_test;1;@param;1;12;varchar;1024;1024;0;0;2;null
FLC_RU;dbo;dav_tmp_proc;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;dav_tmp_proc;1;@price_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;dav_tmp_proc;1;@channel_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;ddd;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;debug_call;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;debug_call;1;@remark;1;12;varchar;100;100;0;0;2;null
FLC_RU;dbo;detailed_activity;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;detailed_activity;1;@quarter;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;detailed_activity;1;@year;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;detailed_activity;1;@reminderdate;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;detailed_activity;1;@scheme;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;detailed_activity;1;@edge_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;detailed_activity;1;@channel_group;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;get_birthday_females;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;get_birthday_males;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;get_shipments_info_by_order_id;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;get_shipments_info_by_order_id;1;@order_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;good_list_by_place_on_date2;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;good_list_by_place_on_date2;1;@place_id;1;2;numeric;18;9;0;0;2;null
FLC_RU;dbo;good_list_by_place_on_date2;1;@current_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;inc_double_members_proceed;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;inc_double_members_proceed;1;@user_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;inc_double_members_proceed;1;@date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;insert_m301_zreport_t;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;insert_m301_zreport_t;1;@sales_register_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;insert_m301_zreport_t;1;@last_receipt_num;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;insert_m301_zreport_t;1;@last_zrep_num;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;insert_m301_zreport_t;1;@zrep_summ_income;1;2;numeric;18;9;2;0;2;null
FLC_RU;dbo;insert_m301_zreport_t;1;@zrep_summ_outcome;1;2;numeric;18;9;2;0;2;null
FLC_RU;dbo;insert_m301_zreport_t;1;@zrep_cardsumm_income;1;2;numeric;18;9;2;0;2;null
FLC_RU;dbo;insert_m301_zreport_t;1;@zrep_cardsumm_outcome;1;2;numeric;18;9;2;0;2;null
FLC_RU;dbo;insert_m301_zreport_t;1;@zrep_summ_begin;1;2;numeric;18;9;2;0;2;null
